13-Al-27(n,elastic) ENDF/B-VII.1
224510.0,5.44579
224634.0,5.04286
224882.0,4.64064
225378.0,4.33923
226984.0,4.03857
234212.0,3.41013
254635.0,2.12437
254955.0,2.1199
255755.0,2.1854
256155.0,2.34647
256396.0,2.57274
256596.0,2.93441
256736.0,3.36764
256856.0,3.93889
256976.0,4.7787
257121.0,6.21211
257252.0,7.60131
257343.0,8.17801
257388.0,8.24466
257460.0,8.04175
257608.0,6.87379
257796.0,5.28894
257956.0,4.34678
258116.0,3.72208
258316.0,3.21972
258556.0,2.84638
258876.0,2.54699
259356.0,2.2927
260077.0,2.09675
260316.0,2.0752
260514.0,2.1388
260578.0,2.23362
260629.0,2.41399
260661.0,2.64871
260686.0,2.98717
260710.0,3.51372
260737.0,4.42573
260764.0,5.37339
260780.0,5.62374
260782.0,5.6257
260797.0,5.44479
260820.0,4.69917
260849.0,3.62764
260869.0,3.13537
260894.0,2.71672
260920.0,2.46987
260945.0,2.31728
260996.0,2.14806
261057.0,2.04784
261272.0,1.92032
262159.0,1.77328
265500.0,1.46554
267481.0,1.35066
267545.0,1.35023
267928.0,1.37507
268104.0,1.43636
268220.0,1.54955
268280.0,1.67425
268330.0,1.86085
268369.0,2.1197
268399.0,2.43137
268429.0,2.90838
268460.0,3.63079
268503.0,4.8578
268526.0,5.25267
268535.0,5.28746
268554.0,5.12299
268584.0,4.39686
268625.0,3.24227
268652.0,2.7
268684.0,2.27568
268720.0,1.96888
268768.0,1.73055
268829.0,1.56723
268928.0,1.43408
269081.0,1.3475
269479.0,1.27812
270365.0,1.25342
271429.0,1.29225
272492.0,1.39389
273484.0,1.57533
274477.0,1.86399
275469.0,2.28021
276603.0,2.93152
278304.0,4.19604
280445.0,5.79333
281990.0,6.53456
283691.0,6.83986
283975.0,6.84808
286810.0,6.55536
294465.0,5.22204
300490.0,4.58576
305669.0,4.35015
306077.0,4.34893
309136.0,4.49438
311460.0,4.91539
314274.0,5.68967
314886.0,5.73249
316232.0,5.49874
319535.0,4.34688
321982.0,3.82916
325653.0,3.41514
332382.0,3.02871
344311.0,2.63943
344785.0,2.67792
344923.0,2.7931
344982.0,2.9708
345024.0,3.27253
345071.0,3.92497
345100.0,4.26357
345112.0,4.30136
345134.0,4.17179
345199.0,3.2841
345236.0,2.99781
345295.0,2.7972
345418.0,2.67128
346055.0,2.59077
354703.0,2.42204
355254.0,2.4208
358528.0,2.49287
359822.0,2.63712
360097.0,2.78008
360218.0,2.9786
360335.0,3.23398
360346.0,3.23701
360421.0,3.11462
360541.0,2.86369
360691.0,2.7695
360809.0,2.75861
361766.0,2.95059
362690.0,3.31812
363498.0,3.85347
364191.0,4.56874
