13-Al-27(n,elastic) ENDF/B-VII.1
3737300.0,1.65905
3740000.0,1.6521
3765000.0,1.84316
3780000.0,1.87865
3813840.0,1.72548
3828350.0,1.68391
3850000.0,1.50388
3860000.0,1.48993
3875000.0,1.52236
3880000.0,1.51906
3891250.0,1.5375
3910000.0,1.75389
3920000.0,1.71242
3930000.0,1.63581
3950000.0,1.65445
3970000.0,1.53617
3980000.0,1.54325
3995000.0,1.65546
4030000.0,1.74811
4065000.0,1.64745
4075000.0,1.67278
4093750.0,1.60901
4100000.0,1.56342
4110000.0,1.55496
4125000.0,1.65626
4136250.0,1.58847
4147500.0,1.49522
4150000.0,1.48778
4157500.0,1.53928
4175000.0,1.74224
4187500.0,1.69728
4200000.0,1.52983
4215000.0,1.40843
4240000.0,1.35865
4260000.0,1.44461
4275000.0,1.44759
4290000.0,1.37395
4300000.0,1.40617
4320000.0,1.58543
4330000.0,1.61175
4345000.0,1.55813
4375000.0,1.64272
4382500.0,1.6166
4390000.0,1.55063
4420000.0,1.16394
4430000.0,1.09033
4440000.0,1.08879
4452500.0,1.23701
4467500.0,1.45597
4472500.0,1.48413
4475000.0,1.48477
4495000.0,1.38976
4500000.0,1.39019
4505000.0,1.38567
4525000.0,1.46585
4530000.0,1.47412
4545000.0,1.31642
4555000.0,1.2787
4560000.0,1.2711
4570000.0,1.30225
4605000.0,1.28716
4620000.0,1.3418
4640000.0,1.50872
4650000.0,1.60171
4660000.0,1.60551
4690000.0,1.41181
4730000.0,1.22542
4740000.0,1.26404
4752500.0,1.44588
4760000.0,1.59435
4770000.0,1.68474
4785000.0,1.64472
4825000.0,1.30924
4835000.0,1.23063
4845000.0,1.19801
4870000.0,1.16612
4885000.0,1.23079
4910000.0,1.40127
4940000.0,1.41834
4960000.0,1.29557
4970000.0,1.28713
4985000.0,1.42135
5000000.0,1.54748
5010000.0,1.58124
5030000.0,1.50939
5050000.0,1.4999
5070000.0,1.42788
5090000.0,1.40266
5100000.0,1.4193
5162470.0,1.34833
5180000.0,1.28631
5203280.0,1.12737
5210000.0,1.11021
5220000.0,1.11217
5235000.0,1.17229
5250000.0,1.18374
5270000.0,1.14993
5300000.0,1.24443
5330000.0,1.42183
5349060.0,1.43437
5370000.0,1.38292
5390000.0,1.40422
5405000.0,1.33858
5430000.0,1.15969
5440000.0,1.12414
5470000.0,1.20026
5490000.0,1.17085
5514050.0,1.08346
5518100.0,1.07531
5560000.0,1.09486
5570000.0,1.15484
5580000.0,1.26512
5595000.0,1.23736
5610000.0,1.1727
5635900.0,1.14901
5675000.0,1.18424
5690000.0,1.2062
5705400.0,1.18808
5755000.0,1.04883
5760000.0,1.04207
5780000.0,1.09689
5810000.0,1.2568
5830000.0,1.20789
5845000.0,1.14907
5850000.0,1.14087
5860000.0,1.15935
5890000.0,1.34265
5905650.0,1.37447
5938050.0,1.33254
5960000.0,1.26069
5970000.0,1.21712
6000000.0,1.20614
6030000.0,1.22761
6055000.0,1.15718
6060000.0,1.15234
6110000.0,1.24218
6136250.0,1.07536
6150000.0,0.988808
6175000.0,0.929812
6180000.0,0.92393
6201840.0,0.970903
6230000.0,0.983197
6260000.0,1.09295
6290000.0,1.14906
6370000.0,1.08312
6420000.0,1.16506
6450000.0,1.26884
6459530.0,1.27087
6480000.0,1.22981
6500000.0,1.10176
6522030.0,1.02098
6570000.0,1.07294
6600000.0,1.07537
6619910.0,1.05464
6655000.0,0.899222
6660000.0,0.886308
6682820.0,0.929695
6720000.0,1.08021
6750000.0,1.11652
6795000.0,1.04968
6830000.0,1.0004
6860000.0,1.0365
6897330.0,1.10468
6904670.0,1.11074
6950000.0,1.0049
6970630.0,0.948315
6990000.0,0.931572
7030000.0,0.975705
7040550.0,0.972744
7075840.0,0.88069
7090000.0,0.82362
7100000.0,0.850571
7140000.0,0.828481
7222500.0,0.880737
7250000.0,0.887774
7320000.0,0.855435
7390000.0,0.792884
7460000.0,0.817256
7600000.0,0.968546
7675000.0,0.950921
7725000.0,0.897041
7760000.0,0.851542
7800000.0,0.838604
7860000.0,0.851583
7880000.0,0.815821
7900000.0,0.821894
7930000.0,0.906806
7940000.0,0.928711
7985000.0,0.915153
8020000.0,0.857677
8080000.0,0.782041
8120000.0,0.826307
8180000.0,0.762213
8200000.0,0.761437
8350000.0,0.818256
8400000.0,0.829104
8600000.0,0.816361
8750000.0,0.761867
8875000.0,0.718029
9000000.0,0.694698
9241370.0,0.715403
9450000.0,0.747648
9500000.0,0.749749
9600000.0,0.745292
9800000.0,0.761344
1.0E7,0.749413
1.025E7,0.702384
1.03625E7,0.716549
1.055E7,0.772813
1.08125E7,0.722325
1.09E7,0.721504
1.115E7,0.78312
1.12E7,0.780021
1.125E7,0.789852
1.13571E7,0.770698
1.16E7,0.791241
1.21014E7,0.760773
1.22028E7,0.757927
1.24E7,0.770284
1.3E7,0.763288
1.44E7,0.785897
1.45E7,0.785578
1.97E7,0.886552
1.99998E7,0.901235
2.00004E7,0.943275
2.7E7,1.10799
3.60437E7,1.19156
3.7E7,1.19327
5.05E7,1.10806
9.1E7,0.639553
1.09E8,0.471489
1.24E8,0.382397
1.41E8,0.293304
1.5E8,0.265101
