74-W-183(n,elastic) ENDF/B-VII.1
66.0291,9.69596
66.4986,8.95609
67.5772,8.2429
70.6533,7.20124
77.3344,5.74071
86.596,3.95058
90.481,2.98899
93.3624,2.07278
95.4668,1.33882
96.1143,1.17269
96.5675,1.11972
96.6322,1.11899
96.9884,1.15783
97.2797,1.26678
97.4983,1.41644
97.7168,1.64687
97.9273,1.97315
98.1215,2.39868
98.3158,2.9879
98.5019,3.76378
98.6719,4.72107
98.8418,6.00715
99.0118,7.75169
99.1737,10.0141
99.3194,12.7666
99.4602,16.3649
99.5913,20.9183
99.7143,26.729
99.8309,34.2552
99.9345,43.3877
100.025,54.1618
100.109,67.589
100.189,84.7099
100.265,107.297
100.333,135.337
100.391,168.434
100.444,209.854
100.495,263.966
100.543,333.198
100.588,421.985
100.632,535.909
100.678,691.345
100.726,908.594
100.784,1246.15
100.862,1814.2
100.983,2755.14
101.053,3115.03
101.112,3211.2
101.162,3126.14
101.229,2800.97
101.417,1434.6
101.482,1058.69
101.534,826.974
101.582,660.374
101.631,534.188
101.688,426.054
101.741,352.018
101.809,284.315
101.877,236.139
101.958,194.838
102.055,159.64
102.175,129.308
102.311,105.375
102.473,85.548
102.654,70.0344
102.861,57.4652
103.126,45.9622
103.513,33.0022
103.626,30.9225
103.64,30.8627
103.707,31.4221
103.793,34.2405
103.943,40.8749
104.03,42.1716
104.137,40.1113
104.349,32.6969
104.535,28.7446
104.787,25.6369
105.256,21.9732
105.934,18.5986
106.828,15.7554
107.939,13.4895
109.225,11.7763
111.062,10.1703
113.411,8.86304
117.168,7.55076
122.643,6.35116
135.394,4.27718
136.677,3.87389
137.105,3.57297
137.51,3.01297
137.549,3.00211
137.607,3.07463
137.66,3.27627
137.709,3.62548
137.774,4.35433
137.86,5.72798
137.993,8.03889
138.062,8.81082
138.13,9.07057
138.202,8.83274
138.451,6.56564
138.576,5.82371
138.7,5.41573
138.992,4.99109
139.4,4.75409
140.108,4.63538
140.98,4.79736
141.503,5.13346
141.968,5.74979
142.317,6.61365
142.572,7.68532
142.782,9.08365
142.956,10.9061
143.09,13.0297
143.189,15.2971
143.287,18.5802
143.363,22.253
143.433,27.176
143.489,32.8313
143.54,40.0833
143.586,49.158
143.633,61.5035
143.679,78.1859
143.728,101.645
143.777,132.427
143.833,177.595
143.902,248.47
144.063,431.607
144.137,488.452
144.2,505.157
144.261,489.224
144.333,435.731
144.464,286.37
144.544,198.613
144.603,146.073
144.656,109.818
144.701,85.5735
144.746,67.0445
144.792,53.0002
144.839,42.4027
144.892,33.9292
144.944,27.8886
145.0,23.2508
145.07,19.1471
145.153,15.7466
145.242,13.2345
145.353,11.0017
145.496,9.04986
145.653,7.59639
145.841,6.40618
146.083,5.39126
146.374,4.60398
146.665,4.0866
147.061,3.63361
147.555,3.31156
148.048,3.16792
148.212,3.15474
148.769,3.23998
149.326,3.56486
149.697,3.96712
150.069,4.58355
150.44,5.50789
150.768,6.69512
151.049,8.11378
151.331,10.0831
151.579,12.4749
151.826,15.77
152.049,19.8713
152.247,24.8513
152.42,30.7092
152.593,38.6077
152.748,48.1879
152.896,60.7338
153.023,75.3086
153.147,94.6578
153.26,118.955
153.357,147.592
153.447,183.324
153.534,230.413
153.616,291.652
153.692,368.851
153.766,470.719
153.84,606.177
153.92,798.388
154.021,1107.88
154.232,1859.04
154.326,2092.5
154.412,2168.94
154.484,2116.88
154.588,1881.65
154.839,1041.26
154.935,784.474
155.019,613.503
155.105,481.479
155.192,385.206
155.279,314.766
155.387,251.493
155.504,203.18
155.625,167.688
155.766,137.902
155.91,116.112
156.033,102.517
156.188,91.7773
156.281,89.9935
156.355,93.0323
156.411,99.4902
156.475,113.656
156.53,133.461
156.587,163.098
156.652,209.773
156.738,291.194
156.87,426.335
156.948,481.829
157.021,499.342
157.089,481.473
157.164,429.11
157.363,235.623
157.434,180.708
157.498,142.889
157.563,115.243
157.631,95.0901
157.709,79.7767
157.807,67.6516
157.93,58.1364
158.081,50.6521
158.319,43.0718
158.643,36.4781
159.076,30.7855
159.595,26.2493
160.309,22.0864
161.282,18.3884
162.449,15.496
163.661,13.4344
165.381,11.353
170.475,6.83841
171.861,5.15454
172.249,4.71011
172.437,4.63247
172.582,4.75362
172.685,5.0404
172.762,5.46138
172.839,6.20006
172.903,7.24284
172.955,8.54316
172.998,10.1843
173.042,12.552
173.08,15.4078
173.117,19.3201
173.149,23.7851
173.185,30.3023
173.221,38.8862
173.257,50.0333
173.294,65.0721
173.338,87.7098
173.384,117.885
173.436,161.766
173.507,234.502
173.661,412.481
173.734,475.651
173.804,503.395
173.824,504.48
173.893,485.132
173.973,424.321
174.169,219.942
174.24,160.481
174.299,122.628
174.347,98.9565
174.401,79.175
174.457,64.2305
174.513,53.67
174.578,45.2853
174.658,38.2945
174.752,32.9539
174.877,28.3015
175.033,24.4996
175.248,21.1167
175.516,18.4103
175.874,16.1228
176.329,14.2917
177.089,12.469
178.161,11.006
179.913,9.65438
182.237,8.55668
187.392,6.60485
188.863,5.74753
189.746,4.949
190.428,4.03112
190.92,3.24311
191.033,3.15874
191.12,3.23588
191.17,3.40432
191.221,3.74112
191.258,4.16891
191.294,4.79126
191.334,5.80611
191.369,7.14111
191.404,9.02414
191.436,11.3038
191.467,14.3124
191.503,18.7894
191.539,24.8861
191.576,32.9239
191.616,44.2305
191.661,60.7092
191.709,82.7719
191.771,117.793
191.885,196.359
191.99,265.404
192.068,297.057
192.124,304.459
192.186,296.411
192.263,265.312
192.411,173.712
192.501,120.75
192.569,89.2577
192.63,68.259
192.683,54.4047
192.737,44.2641
192.789,37.1403
192.852,31.1131
192.916,27.0446
192.992,23.7564
193.094,20.8935
193.237,18.3296
193.438,16.072
193.705,14.1982
194.066,12.6425
194.668,11.1473
195.471,10.0452
196.594,9.1723
198.294,8.41365
201.943,7.33136
202.442,7.03659
202.589,7.14271
202.759,7.77437
203.029,9.35561
203.147,9.56627
203.329,9.11255
203.572,8.24376
203.792,7.86199
204.526,7.49336
207.579,6.996
217.294,5.91961
218.548,5.57199
219.241,5.15719
219.365,5.3289
219.432,5.64755
219.512,6.37159
219.578,7.36243
219.65,8.92045
219.759,12.0609
219.908,16.578
220.003,18.3571
220.056,18.683
220.135,18.2307
220.233,16.4459
220.449,11.2017
220.546,9.51244
220.643,8.40735
220.759,7.64712
220.941,7.09521
221.122,6.83225
221.782,6.40693
223.979,5.92344
226.173,5.51881
226.508,5.40123
226.715,5.51249
227.137,6.25376
227.188,6.27403
227.898,5.72184
232.364,4.89421
233.588,4.45157
234.218,4.03975
234.308,4.09465
234.389,4.33009
234.45,4.72218
234.51,5.40375
234.571,6.48524
234.632,8.07272
234.697,10.4041
234.776,14.1342
234.97,24.9408
235.06,28.4313
235.143,29.5888
235.23,28.437
235.33,24.6912
235.532,15.0917
235.618,11.9449
235.69,10.0297
235.77,8.55969
235.861,7.52267
235.973,6.78683
236.108,6.3108
236.396,5.79627
237.044,5.22261
238.662,4.18801
