7-N-14(n,elastic) ENDF/B-VII.1
5070000.0,0.938381
5150000.0,1.17023
5240000.0,1.3019
5290000.0,1.32107
5520000.0,1.23782
5580000.0,1.26766
5640000.0,1.1956
5740000.0,1.1231
5840000.0,1.04215
5861790.0,1.03882
5930000.0,1.06873
5970000.0,1.08545
6020000.0,1.0421
6160000.0,1.14264
6220000.0,1.15743
6245880.0,1.12256
6310000.0,0.972954
6380000.0,0.922075
6541890.0,1.01633
6764430.0,0.85947
6875000.0,0.822348
6900000.0,0.820174
6975000.0,0.835008
7130000.0,0.945154
7300000.0,1.15062
7310000.0,1.15439
7350000.0,1.09169
7415000.0,1.23013
7420000.0,1.23232
7460000.0,1.1926
7500000.0,1.08457
7550000.0,1.01727
7675000.0,0.971172
7700000.0,0.969358
7740000.0,0.976674
7840000.0,1.08285
7880000.0,1.15343
7900000.0,1.14854
7980000.0,0.899099
8000000.0,0.862329
8100000.0,0.835337
8200000.0,0.851005
8350000.0,0.806113
8500000.0,0.864471
8540770.0,0.863333
8722200.0,0.896697
9000000.0,0.863242
9100000.0,0.869155
9300000.0,0.839411
9380000.0,0.840149
9457470.0,0.834433
1.03E7,0.899531
1.05E7,0.835133
1.07E7,0.892092
1.08E7,0.866152
1.1E7,0.7805
1.11E7,0.766712
1.13136E7,0.791839
1.1524E7,0.8315
1.1525E7,0.830782
1.22E7,0.962545
1.26985E7,0.99123
1.28E7,0.992073
1.36E7,0.969667
1.3669E7,0.970005
1.39E7,0.968901
1.43E7,0.969871
1.44E7,0.969831
1.45E7,0.97
1.46E7,0.969967
1.608E7,0.982203
1.65E7,0.972804
1.7E7,0.996207
1.8493E7,0.958837
2.0E7,1.01901
2.3E7,0.961001
2.4E7,0.957657
2.6E7,0.958551
4.0E7,0.839004
5.3E7,0.669464
7.2E7,0.472962
8.8E7,0.35222
1.04E8,0.26904
1.21E8,0.192526
1.3E8,0.164925
1.5E8,0.120181
