ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 1.000000E-5 eV
  
Cosine Value    Normalized Probability
-1.500E-1   4.167E-1
-2.000E-1   4.030E-1
-2.500E-1   3.898E-1
-3.000E-1   3.772E-1
-3.500E-1   3.651E-1
-4.000E-1   3.535E-1
-4.500E-1   3.424E-1
-5.000E-1   3.319E-1
-5.500E-1   3.219E-1
-6.000E-1   3.123E-1
-6.500E-1   3.033E-1
-7.000E-1   2.947E-1
-7.500E-1   2.867E-1
-8.000E-1   2.791E-1
-8.500E-1   2.719E-1
-9.000E-1   2.652E-1
-9.500E-1   2.590E-1
-1.000E0    2.532E-1
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 1.000000E+6 eV
  
Cosine Value    Normalized Probability
1.000E0     1.088E0
9.500E-1    1.030E0
9.000E-1    9.744E-1
8.500E-1    9.220E-1
8.000E-1    8.721E-1
7.500E-1    8.248E-1
7.000E-1    7.801E-1
6.500E-1    7.378E-1
6.000E-1    6.979E-1
5.500E-1    6.603E-1
5.000E-1    6.250E-1
4.500E-1    5.919E-1
4.000E-1    5.610E-1
3.500E-1    5.322E-1
3.000E-1    5.054E-1
2.500E-1    4.806E-1
2.000E-1    4.578E-1
1.500E-1    4.369E-1
1.000E-1    4.178E-1
5.000E-2    4.006E-1
6.123E-17   3.851E-1
-5.000E-2   3.713E-1
-1.000E-1   3.591E-1
-1.500E-1   3.486E-1
-2.000E-1   3.396E-1
-2.500E-1   3.322E-1
-3.000E-1   3.262E-1
-3.500E-1   3.217E-1
-4.000E-1   3.186E-1
-4.500E-1   3.168E-1
-5.000E-1   3.164E-1
-5.500E-1   3.172E-1
-6.000E-1   3.193E-1
-6.500E-1   3.226E-1
-7.000E-1   3.271E-1
-7.500E-1   3.327E-1
-8.000E-1   3.394E-1
-8.500E-1   3.472E-1
-9.000E-1   3.561E-1
-9.500E-1   3.659E-1
-1.000E0    3.767E-1
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 1.200000E+6 eV
  
Cosine Value    Normalized Probability
1.000E0     1.107E0
9.500E-1    1.040E0
9.000E-1    9.762E-1
8.500E-1    9.161E-1
8.000E-1    8.596E-1
7.500E-1    8.065E-1
7.000E-1    7.568E-1
6.500E-1    7.103E-1
6.000E-1    6.669E-1
5.500E-1    6.266E-1
5.000E-1    5.892E-1
4.500E-1    5.547E-1
4.000E-1    5.230E-1
3.500E-1    4.940E-1
3.000E-1    4.675E-1
2.500E-1    4.436E-1
2.000E-1    4.222E-1
1.500E-1    4.031E-1
1.000E-1    3.863E-1
5.000E-2    3.717E-1
6.123E-17   3.592E-1
-5.000E-2   3.489E-1
-1.000E-1   3.405E-1
-1.500E-1   3.341E-1
-2.000E-1   3.296E-1
-2.500E-1   3.269E-1
-3.000E-1   3.259E-1
-3.500E-1   3.266E-1
-4.000E-1   3.289E-1
-4.500E-1   3.328E-1
-5.000E-1   3.383E-1
-5.500E-1   3.451E-1
-6.000E-1   3.534E-1
-6.500E-1   3.631E-1
-7.000E-1   3.740E-1
-7.500E-1   3.862E-1
-8.000E-1   3.996E-1
-8.500E-1   4.142E-1
-9.000E-1   4.299E-1
-9.500E-1   4.467E-1
-1.000E0    4.645E-1
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 1.400000E+6 eV
  
Cosine Value    Normalized Probability
1.000E0     1.112E0
9.500E-1    1.036E0
9.000E-1    9.653E-1
8.500E-1    8.989E-1
8.000E-1    8.369E-1
7.500E-1    7.792E-1
7.000E-1    7.257E-1
6.500E-1    6.762E-1
6.000E-1    6.306E-1
5.500E-1    5.887E-1
5.000E-1    5.504E-1
4.500E-1    5.155E-1
4.000E-1    4.840E-1
3.500E-1    4.558E-1
3.000E-1    4.306E-1
2.500E-1    4.085E-1
2.000E-1    3.892E-1
1.500E-1    3.726E-1
1.000E-1    3.588E-1
5.000E-2    3.475E-1
6.123E-17   3.386E-1
-5.000E-2   3.321E-1
-1.000E-1   3.279E-1
-1.500E-1   3.258E-1
-2.000E-1   3.259E-1
-2.500E-1   3.279E-1
-3.000E-1   3.319E-1
-3.500E-1   3.377E-1
-4.000E-1   3.453E-1
-4.500E-1   3.545E-1
-5.000E-1   3.654E-1
-5.500E-1   3.778E-1
-6.000E-1   3.917E-1
-6.500E-1   4.070E-1
-7.000E-1   4.236E-1
-7.500E-1   4.415E-1
-8.000E-1   4.607E-1
-8.500E-1   4.810E-1
-9.000E-1   5.025E-1
-9.500E-1   5.250E-1
-1.000E0    5.485E-1
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 1.600000E+6 eV
  
Cosine Value    Normalized Probability
1.000E0     1.111E0
9.500E-1    1.027E0
9.000E-1    9.495E-1
8.500E-1    8.773E-1
8.000E-1    8.107E-1
7.500E-1    7.492E-1
7.000E-1    6.927E-1
6.500E-1    6.410E-1
6.000E-1    5.938E-1
5.500E-1    5.511E-1
5.000E-1    5.126E-1
4.500E-1    4.782E-1
4.000E-1    4.475E-1
3.500E-1    4.206E-1
3.000E-1    3.973E-1
2.500E-1    3.773E-1
2.000E-1    3.605E-1
1.500E-1    3.469E-1
1.000E-1    3.361E-1
5.000E-2    3.282E-1
6.123E-17   3.230E-1
-5.000E-2   3.204E-1
-1.000E-1   3.202E-1
-1.500E-1   3.223E-1
-2.000E-1   3.266E-1
-2.500E-1   3.330E-1
-3.000E-1   3.415E-1
-3.500E-1   3.518E-1
-4.000E-1   3.640E-1
-4.500E-1   3.778E-1
-5.000E-1   3.933E-1
-5.500E-1   4.104E-1
-6.000E-1   4.289E-1
-6.500E-1   4.488E-1
-7.000E-1   4.701E-1
-7.500E-1   4.925E-1
-8.000E-1   5.162E-1
-8.500E-1   5.409E-1
-9.000E-1   5.667E-1
-9.500E-1   5.936E-1
-1.000E0    6.213E-1
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 1.800000E+6 eV
  
Cosine Value    Normalized Probability
1.000E0     1.108E0
9.500E-1    1.017E0
9.000E-1    9.332E-1
8.500E-1    8.558E-1
8.000E-1    7.848E-1
7.500E-1    7.200E-1
7.000E-1    6.610E-1
6.500E-1    6.076E-1
6.000E-1    5.594E-1
5.500E-1    5.163E-1
5.000E-1    4.781E-1
4.500E-1    4.443E-1
4.000E-1    4.150E-1
3.500E-1    3.897E-1
3.000E-1    3.683E-1
2.500E-1    3.507E-1
2.000E-1    3.366E-1
1.500E-1    3.258E-1
1.000E-1    3.182E-1
5.000E-2    3.136E-1
6.123E-17   3.119E-1
-5.000E-2   3.128E-1
-1.000E-1   3.163E-1
-1.500E-1   3.221E-1
-2.000E-1   3.302E-1
-2.500E-1   3.405E-1
-3.000E-1   3.527E-1
-3.500E-1   3.669E-1
-4.000E-1   3.829E-1
-4.500E-1   4.005E-1
-5.000E-1   4.197E-1
-5.500E-1   4.404E-1
-6.000E-1   4.625E-1
-6.500E-1   4.859E-1
-7.000E-1   5.106E-1
-7.500E-1   5.364E-1
-8.000E-1   5.633E-1
-8.500E-1   5.912E-1
-9.000E-1   6.200E-1
-9.500E-1   6.498E-1
-1.000E0    6.804E-1
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 2.000000E+6 eV
  
Cosine Value    Normalized Probability
1.000E0     1.108E0
9.500E-1    1.009E0
9.000E-1    9.189E-1
8.500E-1    8.364E-1
8.000E-1    7.613E-1
7.500E-1    6.933E-1
7.000E-1    6.321E-1
6.500E-1    5.772E-1
6.000E-1    5.283E-1
5.500E-1    4.852E-1
5.000E-1    4.473E-1
4.500E-1    4.146E-1
4.000E-1    3.866E-1
3.500E-1    3.631E-1
3.000E-1    3.439E-1
2.500E-1    3.287E-1
2.000E-1    3.172E-1
1.500E-1    3.092E-1
1.000E-1    3.046E-1
5.000E-2    3.031E-1
6.123E-17   3.045E-1
-5.000E-2   3.086E-1
-1.000E-1   3.153E-1
-1.500E-1   3.244E-1
-2.000E-1   3.357E-1
-2.500E-1   3.492E-1
-3.000E-1   3.646E-1
-3.500E-1   3.818E-1
-4.000E-1   4.008E-1
-4.500E-1   4.213E-1
-5.000E-1   4.433E-1
-5.500E-1   4.667E-1
-6.000E-1   4.914E-1
-6.500E-1   5.173E-1
-7.000E-1   5.443E-1
-7.500E-1   5.723E-1
-8.000E-1   6.014E-1
-8.500E-1   6.313E-1
-9.000E-1   6.621E-1
-9.500E-1   6.936E-1
-1.000E0    7.260E-1
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 2.400000E+6 eV
  
Cosine Value    Normalized Probability
1.000E0     1.120E0
9.500E-1    1.005E0
9.000E-1    9.004E-1
8.500E-1    8.070E-1
8.000E-1    7.235E-1
7.500E-1    6.493E-1
7.000E-1    5.838E-1
6.500E-1    5.264E-1
6.000E-1    4.764E-1
5.500E-1    4.335E-1
5.000E-1    3.970E-1
4.500E-1    3.666E-1
4.000E-1    3.417E-1
3.500E-1    3.220E-1
3.000E-1    3.070E-1
2.500E-1    2.964E-1
2.000E-1    2.899E-1
1.500E-1    2.872E-1
1.000E-1    2.878E-1
5.000E-2    2.916E-1
6.123E-17   2.984E-1
-5.000E-2   3.078E-1
-1.000E-1   3.196E-1
-1.500E-1   3.337E-1
-2.000E-1   3.499E-1
-2.500E-1   3.679E-1
-3.000E-1   3.876E-1
-3.500E-1   4.089E-1
-4.000E-1   4.317E-1
-4.500E-1   4.557E-1
-5.000E-1   4.810E-1
-5.500E-1   5.073E-1
-6.000E-1   5.347E-1
-6.500E-1   5.630E-1
-7.000E-1   5.922E-1
-7.500E-1   6.222E-1
-8.000E-1   6.529E-1
-8.500E-1   6.844E-1
-9.000E-1   7.166E-1
-9.500E-1   7.494E-1
-1.000E0    7.829E-1
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 2.800000E+6 eV
  
Cosine Value    Normalized Probability
1.000E0     1.151E0
9.500E-1    1.016E0
9.000E-1    8.956E-1
8.500E-1    7.897E-1
8.000E-1    6.970E-1
7.500E-1    6.162E-1
7.000E-1    5.464E-1
6.500E-1    4.866E-1
6.000E-1    4.359E-1
5.500E-1    3.937E-1
5.000E-1    3.590E-1
4.500E-1    3.312E-1
4.000E-1    3.097E-1
3.500E-1    2.939E-1
3.000E-1    2.832E-1
2.500E-1    2.771E-1
2.000E-1    2.751E-1
1.500E-1    2.769E-1
1.000E-1    2.820E-1
5.000E-2    2.902E-1
6.123E-17   3.010E-1
-5.000E-2   3.142E-1
-1.000E-1   3.296E-1
-1.500E-1   3.468E-1
-2.000E-1   3.658E-1
-2.500E-1   3.862E-1
-3.000E-1   4.080E-1
-3.500E-1   4.311E-1
-4.000E-1   4.552E-1
-4.500E-1   4.803E-1
-5.000E-1   5.063E-1
-5.500E-1   5.331E-1
-6.000E-1   5.607E-1
-6.500E-1   5.891E-1
-7.000E-1   6.181E-1
-7.500E-1   6.479E-1
-8.000E-1   6.783E-1
-8.500E-1   7.094E-1
-9.000E-1   7.413E-1
-9.500E-1   7.740E-1
-1.000E0    8.074E-1
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 3.200000E+6 eV
  
Cosine Value    Normalized Probability
1.000E0     1.200E0
9.500E-1    1.040E0
9.000E-1    9.016E-1
8.500E-1    7.815E-1
8.000E-1    6.784E-1
7.500E-1    5.905E-1
7.000E-1    5.163E-1
6.500E-1    4.543E-1
6.000E-1    4.034E-1
5.500E-1    3.624E-1
5.000E-1    3.300E-1
4.500E-1    3.054E-1
4.000E-1    2.876E-1
3.500E-1    2.759E-1
3.000E-1    2.695E-1
2.500E-1    2.677E-1
2.000E-1    2.700E-1
1.500E-1    2.758E-1
1.000E-1    2.846E-1
5.000E-2    2.961E-1
6.123E-17   3.098E-1
-5.000E-2   3.254E-1
-1.000E-1   3.428E-1
-1.500E-1   3.616E-1
-2.000E-1   3.816E-1
-2.500E-1   4.027E-1
-3.000E-1   4.247E-1
-3.500E-1   4.476E-1
-4.000E-1   4.713E-1
-4.500E-1   4.956E-1
-5.000E-1   5.206E-1
-5.500E-1   5.463E-1
-6.000E-1   5.726E-1
-6.500E-1   5.996E-1
-7.000E-1   6.274E-1
-7.500E-1   6.560E-1
-8.000E-1   6.854E-1
-8.500E-1   7.158E-1
-9.000E-1   7.473E-1
-9.500E-1   7.799E-1
-1.000E0    8.139E-1
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 3.270002E+6 eV
  
Cosine Value    Normalized Probability
1.000E0     1.122E0
9.000E-1    9.091E-1
8.000E-1    6.575E-1
7.000E-1    4.768E-1
6.000E-1    3.761E-1
5.000E-1    3.228E-1
4.000E-1    2.939E-1
3.000E-1    2.725E-1
2.000E-1    2.666E-1
1.000E-1    2.725E-1
6.123E-17   2.873E-1
-1.000E-1   3.139E-1
-2.000E-1   3.524E-1
-3.000E-1   3.998E-1
-4.000E-1   4.561E-1
-5.000E-1   5.182E-1
-6.000E-1   5.893E-1
-7.000E-1   6.634E-1
-8.000E-1   7.403E-1
-9.000E-1   8.203E-1
-1.000E0    9.002E-1
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 5.500002E+6 eV
  
Cosine Value    Normalized Probability
1.000E0     9.899E-1
9.000E-1    7.353E-1
8.000E-1    5.135E-1
7.000E-1    3.656E-1
6.000E-1    2.752E-1
5.000E-1    2.259E-1
4.000E-1    1.931E-1
3.000E-1    1.807E-1
2.000E-1    1.889E-1
1.000E-1    2.177E-1
6.123E-17   2.629E-1
-1.000E-1   3.245E-1
-2.000E-1   3.902E-1
-3.000E-1   4.765E-1
-4.000E-1   5.627E-1
-5.000E-1   6.449E-1
-6.000E-1   7.270E-1
-7.000E-1   8.133E-1
-8.000E-1   8.955E-1
-9.000E-1   9.817E-1
-1.000E0    1.060E0
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 5.600002E+6 eV
  
Cosine Value    Normalized Probability
1.000E0     1.164E0
9.000E-1    7.252E-1
8.000E-1    4.764E-1
7.000E-1    3.499E-1
6.000E-1    2.740E-1
5.000E-1    2.319E-1
4.000E-1    2.150E-1
3.000E-1    2.150E-1
2.000E-1    2.319E-1
1.000E-1    2.572E-1
6.123E-17   2.909E-1
-1.000E-1   3.373E-1
-2.000E-1   3.837E-1
-3.000E-1   4.427E-1
-4.000E-1   5.059E-1
-5.000E-1   5.776E-1
-6.000E-1   6.619E-1
-7.000E-1   7.673E-1
-8.000E-1   8.769E-1
-9.000E-1   1.003E0
-1.000E0    1.189E0
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 7.850004E+6 eV
  
Cosine Value    Normalized Probability
1.000E0     1.343E0
9.000E-1    6.963E-1
8.000E-1    3.979E-1
7.000E-1    2.663E-1
6.000E-1    2.033E-1
5.000E-1    1.823E-1
4.000E-1    1.823E-1
3.000E-1    1.989E-1
2.000E-1    2.254E-1
1.000E-1    2.591E-1
6.123E-17   2.984E-1
-1.000E-1   3.454E-1
-2.000E-1   3.951E-1
-3.000E-1   4.614E-1
-4.000E-1   5.360E-1
-5.000E-1   6.134E-1
-6.000E-1   7.018E-1
-7.000E-1   8.067E-1
-8.000E-1   9.173E-1
-9.000E-1   1.044E0
-1.000E0    1.194E0
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 9.700004E+6 eV
  
Cosine Value    Normalized Probability
1.000E0     1.365E0
9.000E-1    6.794E-1
8.000E-1    3.604E-1
7.000E-1    2.110E-1
6.000E-1    1.488E-1
5.000E-1    1.385E-1
4.000E-1    1.546E-1
3.000E-1    1.805E-1
2.000E-1    2.135E-1
1.000E-1    2.562E-1
6.123E-17   3.093E-1
-1.000E-1   3.624E-1
-2.000E-1   4.206E-1
-3.000E-1   4.853E-1
-4.000E-1   5.597E-1
-5.000E-1   6.406E-1
-6.000E-1   7.377E-1
-7.000E-1   8.348E-1
-8.000E-1   9.448E-1
-9.000E-1   1.074E0
-1.000E0    1.210E0
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 1.150000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     1.196E0
9.000E-1    5.978E-1
8.000E-1    2.989E-1
7.000E-1    1.634E-1
6.000E-1    1.124E-1
5.000E-1    1.028E-1
4.000E-1    1.291E-1
3.000E-1    1.658E-1
2.000E-1    2.096E-1
1.000E-1    2.614E-1
6.123E-17   3.156E-1
-1.000E-1   3.746E-1
-2.000E-1   4.423E-1
-3.000E-1   5.141E-1
-4.000E-1   5.898E-1
-5.000E-1   6.774E-1
-6.000E-1   7.731E-1
-7.000E-1   8.847E-1
-8.000E-1   1.004E0
-9.000E-1   1.140E0
-1.000E0    1.291E0
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 1.217000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     1.247E0
9.000E-1    6.147E-1
8.000E-1    3.074E-1
7.000E-1    1.706E-1
6.000E-1    1.126E-1
5.000E-1    1.048E-1
4.000E-1    1.281E-1
3.000E-1    1.619E-1
2.000E-1    2.009E-1
1.000E-1    2.511E-1
6.123E-17   3.074E-1
-1.000E-1   3.680E-1
-2.000E-1   4.372E-1
-3.000E-1   5.108E-1
-4.000E-1   5.887E-1
-5.000E-1   6.753E-1
-6.000E-1   7.749E-1
-7.000E-1   8.831E-1
-8.000E-1   1.004E0
-9.000E-1   1.134E0
-1.000E0    1.281E0
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 1.417000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     1.232E0
9.000E-1    5.419E-1
8.000E-1    2.394E-1
7.000E-1    1.212E-1
6.000E-1    8.370E-2
5.000E-1    8.970E-2
4.000E-1    1.113E-1
3.000E-1    1.429E-1
2.000E-1    1.852E-1
1.000E-1    2.335E-1
6.123E-17   2.877E-1
-1.000E-1   3.478E-1
-2.000E-1   4.187E-1
-3.000E-1   4.926E-1
-4.000E-1   5.862E-1
-5.000E-1   6.897E-1
-6.000E-1   8.030E-1
-7.000E-1   9.360E-1
-8.000E-1   1.084E0
-9.000E-1   1.261E0
-1.000E0    1.458E0
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 2.000000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     9.204E-1
9.000E-1    3.585E-1
8.000E-1    1.437E-1
7.000E-1    5.650E-2
6.000E-1    4.090E-2
5.000E-1    6.540E-2
4.000E-1    9.850E-2
3.000E-1    1.340E-1
2.000E-1    1.728E-1
1.000E-1    2.180E-1
6.123E-17   2.664E-1
-1.000E-1   3.262E-1
-2.000E-1   3.924E-1
-3.000E-1   4.764E-1
-4.000E-1   5.765E-1
-5.000E-1   6.992E-1
-6.000E-1   8.478E-1
-7.000E-1   1.025E0
-8.000E-1   1.243E0
-9.000E-1   1.502E0
-1.000E0    1.792E0
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 2.400000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     6.022E-1
9.500E-1    4.442E-1
9.000E-1    3.178E-1
8.500E-1    2.192E-1
8.000E-1    1.448E-1
7.500E-1    9.119E-2
7.000E-1    5.530E-2
6.500E-1    3.422E-2
6.000E-1    2.527E-2
5.500E-1    2.606E-2
5.000E-1    3.440E-2
4.500E-1    4.836E-2
4.000E-1    6.623E-2
3.500E-1    8.656E-2
3.000E-1    1.081E-1
2.500E-1    1.299E-1
2.000E-1    1.513E-1
1.500E-1    1.716E-1
1.000E-1    1.907E-1
5.000E-2    2.084E-1
6.123E-17   2.251E-1
-5.000E-2   2.412E-1
-1.000E-1   2.573E-1
-1.500E-1   2.744E-1
-2.000E-1   2.937E-1
-2.500E-1   3.165E-1
-3.000E-1   3.445E-1
-3.500E-1   3.796E-1
-4.000E-1   4.239E-1
-4.500E-1   4.798E-1
-5.000E-1   5.498E-1
-5.500E-1   6.368E-1
-6.000E-1   7.439E-1
-6.500E-1   8.743E-1
-7.000E-1   1.032E0
-7.500E-1   1.220E0
-8.000E-1   1.443E0
-8.500E-1   1.705E0
-9.000E-1   2.010E0
-9.500E-1   2.364E0
-1.000E0    2.771E0
ENDF/B-VII.1 Angular Distribution of Neutrons: 1-H-2(n,elastic)
Incident Neutron Energy: 2.800000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     8.305E-1
9.500E-1    5.306E-1
9.000E-1    3.209E-1
8.500E-1    1.810E-1
8.000E-1    9.370E-2
7.500E-1    4.504E-2
7.000E-1    2.364E-2
6.500E-1    2.047E-2
6.000E-1    2.861E-2
5.500E-1    4.288E-2
5.000E-1    5.963E-2
4.500E-1    7.644E-2
4.000E-1    9.195E-2
3.500E-1    1.056E-1
3.000E-1    1.174E-1
2.500E-1    1.280E-1
2.000E-1    1.383E-1
1.500E-1    1.491E-1
1.000E-1    1.616E-1
