ENDF/B-VII.1 Angular Distribution of Neutrons: 13-Al-27(n,elastic)
Incident Neutron Energy: 1.000000E-5 eV
  
Cosine Value    Normalized Probability
9.600E-1    4.627E-1
9.400E-1    4.631E-1
9.200E-1    4.635E-1
9.000E-1    4.639E-1
8.800E-1    4.644E-1
8.600E-1    4.648E-1
8.400E-1    4.653E-1
8.200E-1    4.657E-1
8.000E-1    4.662E-1
7.800E-1    4.667E-1
7.600E-1    4.672E-1
7.400E-1    4.677E-1
7.200E-1    4.682E-1
7.000E-1    4.687E-1
6.800E-1    4.693E-1
6.600E-1    4.699E-1
6.400E-1    4.704E-1
6.200E-1    4.710E-1
6.000E-1    4.716E-1
5.800E-1    4.722E-1
5.600E-1    4.728E-1
5.400E-1    4.735E-1
5.200E-1    4.741E-1
5.000E-1    4.747E-1
4.800E-1    4.754E-1
4.600E-1    4.761E-1
4.400E-1    4.768E-1
4.200E-1    4.775E-1
4.000E-1    4.782E-1
3.800E-1    4.789E-1
3.600E-1    4.797E-1
3.400E-1    4.804E-1
3.200E-1    4.812E-1
3.000E-1    4.819E-1
2.800E-1    4.827E-1
2.600E-1    4.835E-1
2.400E-1    4.843E-1
2.200E-1    4.852E-1
2.000E-1    4.860E-1
1.800E-1    4.868E-1
1.600E-1    4.877E-1
1.400E-1    4.886E-1
1.200E-1    4.895E-1
1.000E-1    4.903E-1
8.000E-2    4.913E-1
6.000E-2    4.922E-1
4.000E-2    4.931E-1
2.000E-2    4.940E-1
6.123E-17   4.950E-1
-2.000E-2   4.960E-1
-4.000E-2   4.969E-1
-6.000E-2   4.979E-1
-8.000E-2   4.989E-1
-1.000E-1   4.999E-1
-1.200E-1   5.010E-1
-1.400E-1   5.020E-1
-1.600E-1   5.031E-1
-1.800E-1   5.041E-1
-2.000E-1   5.052E-1
-2.200E-1   5.063E-1
-2.400E-1   5.074E-1
-2.600E-1   5.085E-1
-2.800E-1   5.096E-1
-3.000E-1   5.107E-1
-3.200E-1   5.119E-1
-3.400E-1   5.131E-1
-3.600E-1   5.142E-1
-3.800E-1   5.154E-1
-4.000E-1   5.166E-1
-4.200E-1   5.178E-1
-4.400E-1   5.190E-1
-4.600E-1   5.203E-1
-4.800E-1   5.215E-1
-5.000E-1   5.227E-1
-5.200E-1   5.240E-1
-5.400E-1   5.253E-1
-5.600E-1   5.266E-1
-5.800E-1   5.279E-1
-6.000E-1   5.292E-1
-6.200E-1   5.305E-1
-6.400E-1   5.319E-1
-6.600E-1   5.332E-1
-6.800E-1   5.346E-1
-7.000E-1   5.359E-1
-7.200E-1   5.373E-1
-7.400E-1   5.387E-1
-7.600E-1   5.401E-1
-7.800E-1   5.416E-1
-8.000E-1   5.430E-1
-8.200E-1   5.444E-1
-8.400E-1   5.459E-1
-8.600E-1   5.474E-1
-8.800E-1   5.489E-1
-9.000E-1   5.503E-1
-9.200E-1   5.519E-1
-9.400E-1   5.534E-1
-9.600E-1   5.549E-1
-9.800E-1   5.564E-1
-1.000E0    5.580E-1
ENDF/B-VII.1 Angular Distribution of Neutrons: 13-Al-27(n,elastic)
Incident Neutron Energy: 3.000000E+5 eV
  
Cosine Value    Normalized Probability
1.000E0     4.145E-1
9.800E-1    4.153E-1
9.600E-1    4.162E-1
9.400E-1    4.170E-1
9.200E-1    4.180E-1
9.000E-1    4.189E-1
8.800E-1    4.198E-1
8.600E-1    4.208E-1
8.400E-1    4.218E-1
8.200E-1    4.229E-1
8.000E-1    4.239E-1
7.800E-1    4.250E-1
7.600E-1    4.262E-1
7.400E-1    4.273E-1
7.200E-1    4.285E-1
7.000E-1    4.297E-1
6.800E-1    4.309E-1
6.600E-1    4.322E-1
6.400E-1    4.335E-1
6.200E-1    4.348E-1
6.000E-1    4.361E-1
5.800E-1    4.375E-1
5.600E-1    4.389E-1
5.400E-1    4.403E-1
5.200E-1    4.417E-1
5.000E-1    4.432E-1
4.800E-1    4.447E-1
4.600E-1    4.462E-1
4.400E-1    4.478E-1
4.200E-1    4.493E-1
4.000E-1    4.509E-1
3.800E-1    4.526E-1
3.600E-1    4.542E-1
3.400E-1    4.559E-1
3.200E-1    4.576E-1
3.000E-1    4.594E-1
2.800E-1    4.612E-1
2.600E-1    4.629E-1
2.400E-1    4.648E-1
2.200E-1    4.666E-1
2.000E-1    4.685E-1
1.800E-1    4.704E-1
1.600E-1    4.723E-1
1.400E-1    4.743E-1
1.200E-1    4.763E-1
1.000E-1    4.783E-1
8.000E-2    4.803E-1
6.000E-2    4.824E-1
4.000E-2    4.845E-1
2.000E-2    4.866E-1
6.123E-17   4.887E-1
-2.000E-2   4.909E-1
-4.000E-2   4.931E-1
-6.000E-2   4.953E-1
-8.000E-2   4.976E-1
-1.000E-1   4.999E-1
-1.200E-1   5.022E-1
-1.400E-1   5.045E-1
-1.600E-1   5.069E-1
-1.800E-1   5.093E-1
-2.000E-1   5.117E-1
-2.200E-1   5.141E-1
-2.400E-1   5.166E-1
-2.600E-1   5.191E-1
-2.800E-1   5.216E-1
-3.000E-1   5.242E-1
-3.200E-1   5.268E-1
-3.400E-1   5.294E-1
-3.600E-1   5.320E-1
-3.800E-1   5.347E-1
-4.000E-1   5.373E-1
-4.200E-1   5.401E-1
-4.400E-1   5.428E-1
-4.600E-1   5.456E-1
-4.800E-1   5.484E-1
-5.000E-1   5.512E-1
-5.200E-1   5.540E-1
-5.400E-1   5.569E-1
-5.600E-1   5.598E-1
-5.800E-1   5.627E-1
-6.000E-1   5.657E-1
-6.200E-1   5.687E-1
-6.400E-1   5.717E-1
-6.600E-1   5.747E-1
-6.800E-1   5.778E-1
-7.000E-1   5.809E-1
-7.200E-1   5.840E-1
-7.400E-1   5.871E-1
-7.600E-1   5.903E-1
-7.800E-1   5.935E-1
-8.000E-1   5.967E-1
-8.200E-1   6.000E-1
-8.400E-1   6.033E-1
-8.600E-1   6.066E-1
-8.800E-1   6.099E-1
-9.000E-1   6.133E-1
-9.200E-1   6.167E-1
-9.400E-1   6.201E-1
-9.600E-1   6.235E-1
-9.800E-1   6.270E-1
-1.000E0    6.305E-1
ENDF/B-VII.1 Angular Distribution of Neutrons: 13-Al-27(n,elastic)
Incident Neutron Energy: 4.000000E+5 eV
  
Cosine Value    Normalized Probability
1.000E0     3.695E-1
9.800E-1    3.706E-1
9.600E-1    3.718E-1
9.400E-1    3.730E-1
9.200E-1    3.743E-1
9.000E-1    3.756E-1
8.800E-1    3.770E-1
8.600E-1    3.784E-1
8.400E-1    3.798E-1
8.200E-1    3.813E-1
8.000E-1    3.828E-1
7.800E-1    3.844E-1
7.600E-1    3.861E-1
7.400E-1    3.877E-1
7.200E-1    3.894E-1
7.000E-1    3.912E-1
6.800E-1    3.930E-1
6.600E-1    3.949E-1
6.400E-1    3.968E-1
6.200E-1    3.987E-1
6.000E-1    4.007E-1
5.800E-1    4.027E-1
5.600E-1    4.048E-1
5.400E-1    4.069E-1
5.200E-1    4.091E-1
5.000E-1    4.113E-1
4.800E-1    4.136E-1
4.600E-1    4.159E-1
4.400E-1    4.182E-1
4.200E-1    4.206E-1
4.000E-1    4.230E-1
3.800E-1    4.255E-1
3.600E-1    4.281E-1
3.400E-1    4.306E-1
3.200E-1    4.332E-1
3.000E-1    4.359E-1
2.800E-1    4.386E-1
2.600E-1    4.414E-1
2.400E-1    4.442E-1
2.200E-1    4.470E-1
2.000E-1    4.499E-1
1.800E-1    4.528E-1
1.600E-1    4.558E-1
1.400E-1    4.588E-1
1.200E-1    4.619E-1
1.000E-1    4.650E-1
8.000E-2    4.682E-1
6.000E-2    4.714E-1
4.000E-2    4.746E-1
2.000E-2    4.779E-1
6.123E-17   4.812E-1
-2.000E-2   4.846E-1
-4.000E-2   4.881E-1
-6.000E-2   4.915E-1
-8.000E-2   4.950E-1
-1.000E-1   4.986E-1
-1.200E-1   5.022E-1
-1.400E-1   5.059E-1
-1.600E-1   5.096E-1
-1.800E-1   5.133E-1
-2.000E-1   5.171E-1
-2.200E-1   5.209E-1
-2.400E-1   5.248E-1
-2.600E-1   5.287E-1
-2.800E-1   5.327E-1
-3.000E-1   5.367E-1
-3.200E-1   5.408E-1
-3.400E-1   5.449E-1
-3.600E-1   5.490E-1
-3.800E-1   5.532E-1
-4.000E-1   5.574E-1
-4.200E-1   5.617E-1
-4.400E-1   5.661E-1
-4.600E-1   5.704E-1
-4.800E-1   5.748E-1
-5.000E-1   5.793E-1
-5.200E-1   5.838E-1
-5.400E-1   5.884E-1
-5.600E-1   5.930E-1
-5.800E-1   5.976E-1
-6.000E-1   6.023E-1
-6.200E-1   6.070E-1
-6.400E-1   6.118E-1
-6.600E-1   6.166E-1
-6.800E-1   6.215E-1
-7.000E-1   6.264E-1
-7.200E-1   6.314E-1
-7.400E-1   6.364E-1
-7.600E-1   6.414E-1
-7.800E-1   6.465E-1
-8.000E-1   6.516E-1
-8.200E-1   6.568E-1
-8.400E-1   6.621E-1
-8.600E-1   6.673E-1
-8.800E-1   6.726E-1
-9.000E-1   6.780E-1
-9.200E-1   6.834E-1
-9.400E-1   6.889E-1
