1.55		313.063	
1.555		313.827	
1.56		314.59	
1.565		315.339	
1.57		316.084	
1.575		316.816	
1.58		317.543	
1.585		318.258	
1.59		318.965	
1.595		319.663	
1.6		320.35	
1.605		321.029	
1.61		321.696	
1.615		322.356	
1.62		323.001	
1.625		323.642	
1.63		324.264	
1.635		324.884	
1.64		325.484	
1.645		326.081	
1.65		326.658	
1.655		327.231	
1.66		327.787	
1.665		328.335	
1.67		328.868	
1.675		329.391	
1.68		329.901	
1.685		330.397	
1.69		330.883	
1.695		331.353	
1.7		331.815	
1.705		332.258	
1.71		332.696	
1.715		333.111	
1.72		333.523	
1.725		333.91	
1.73		334.294	
1.735		334.656	
1.74		335.012	
1.745		335.347	
1.75		335.674	
1.755		335.984	
1.76		336.282	
1.765		336.565	
1.77		336.834	
1.775		337.091	
1.78		337.331	
1.785		337.562	
1.79		337.773	
1.795		337.978	
1.8		338.16	
1.805		338.339	
1.81		338.492	
1.815		338.642	
1.82		338.77	
1.825		338.892	
1.83		338.995	
1.835		339.089	
1.84		339.168	
1.845		339.235	
1.85		339.289	
1.855		339.33	
1.86		339.36	
1.865		339.375	
1.87		339.383	
1.875		339.373	
1.88		339.359	
1.885		339.325	
1.89		339.289	
1.895		339.233	
1.9		339.174	
1.905		339.098	
1.91		339.018	
1.915		338.923	
1.92		338.823	
1.925		338.711	
1.93		338.591	
1.935		338.462	
1.94		338.325	
1.945		338.18	
1.95		338.026	
1.955		337.868	
1.96		337.698	
1.965		337.526	
1.97		337.344	
1.975		337.159	
1.98		336.964	
1.985		336.768	
1.99		336.563	
1.995		336.356	
2		336.142	
2.005		335.925	
2.01		335.704	
2.015		335.479	
2.02		335.251	
2.025		335.02	
2.03		334.787	
2.035		334.551	
2.04		334.313	
2.045		334.072	
2.05		333.831	
2.055		333.588	
2.06		333.344	
2.065		333.099	
2.07		332.854	
2.075		332.609	
2.08		332.363	
2.085		332.118	
2.09		331.873	
2.095		331.629	
2.1		331.385	
2.105		331.143	
2.11		330.902	
2.115		330.662	
2.12		330.424	
2.125		330.187	
2.13		329.953	
2.135		329.72	
2.14		329.491	
2.145		329.263	
2.15		329.039	
2.155		328.815	
2.16		328.597	
2.165		328.379	
2.17		328.166	
2.175		327.955	
2.18		327.748	
2.185		327.544	
2.19		327.344	
2.195		327.147	
2.2		326.953	
2.205		326.763	
2.21		326.576	
2.215		326.394	
2.22		326.214	
2.225		326.04	
2.23		325.867	
2.235		325.702	
2.24		325.537	
2.245		325.379	
2.25		325.222	
2.255		325.071	
2.26		324.923	
2.265		324.78	
2.27		324.64	
2.275		324.505	
2.28		324.373	
2.285		324.246	
2.29		324.123	
2.295		324.002	
2.3		323.888	
2.305		323.775	
2.31		323.669	
2.315		323.564	
2.32		323.466	
2.325		323.369	
2.33		323.278	
2.335		323.189	
2.34		323.106	
2.345		323.025	
